embedding_index,embedding_name,importancia,ranking
1197,embedding_1197,0.000982849046054827,221
1183,embedding_1183,0.0009821890874813141,222
1141,embedding_1141,0.0009792452312535117,223
150,embedding_150,0.0009771804983497825,224
422,embedding_422,0.0009762714784724609,225
654,embedding_654,0.0009698628964389992,226
1273,embedding_1273,0.0009697687256491983,227
973,embedding_973,0.0009491985647177058,228
545,embedding_545,0.0009479416617495546,229
1264,embedding_1264,0.0009433879073644826,230
255,embedding_255,0.0009381347749501386,231
664,embedding_664,0.0009319963014825889,232
942,embedding_942,0.0009315704639856587,233
419,embedding_419,0.0009313618986649851,234
1203,embedding_1203,0.0009247547321796696,235
114,embedding_114,0.0009079996065652678,236
1185,embedding_1185,0.0009065054950158632,237
1022,embedding_1022,0.0009049934103092766,238
483,embedding_483,0.0008984728425962342,239
411,embedding_411,0.0008910655557742871,240
206,embedding_206,0.0008888483204214089,241
489,embedding_489,0.0008870949770902127,242
1235,embedding_1235,0.0008824714806461042,243
854,embedding_854,0.0008714940298578313,244
587,embedding_587,0.0008689136945404948,245
308,embedding_308,0.0008669322587647991,246
740,embedding_740,0.0008594989071907605,247
1057,embedding_1057,0.0008584220449295518,248
282,embedding_282,0.0008559865187263386,249
460,embedding_460,0.0008533883651339701,250
634,embedding_634,0.0008529548124569663,251
264,embedding_264,0.0008407611465509583,252
1103,embedding_1103,0.0008341053079998287,253
1242,embedding_1242,0.0008301580501291479,254
1021,embedding_1021,0.000828509060985335,255
1261,embedding_1261,0.0008220119539083976,256
694,embedding_694,0.0008179516472640864,257
621,embedding_621,0.0008174229479025835,258
1055,embedding_1055,0.0008098571923137218,259
633,embedding_633,0.0008070010863477292,260
181,embedding_181,0.0008055372935735671,261
364,embedding_364,0.0007995337774073266,262
82,embedding_82,0.0007897875388351251,263
97,embedding_97,0.0007896397647698093,264
170,embedding_170,0.0007860953058650829,265
1154,embedding_1154,0.0007789307936494071,266
174,embedding_174,0.0007751704370510746,267
1004,embedding_1004,0.0007586098920887171,268
626,embedding_626,0.0007568518195166979,269
439,embedding_439,0.0007497668715785627,270
668,embedding_668,0.0007460759783972102,271
613,embedding_613,0.0007409224476979571,272
130,embedding_130,0.0007389396522643828,273
1241,embedding_1241,0.0007364200743331744,274
758,embedding_758,0.0007355149886677479,275
83,embedding_83,0.000735062099146325,276
764,embedding_764,0.0007346166270184638,277
1229,embedding_1229,0.0007312745035483163,278
869,embedding_869,0.0007286485540560975,279
917,embedding_917,0.0007187600722497246,280
133,embedding_133,0.0007121973098012037,281
1227,embedding_1227,0.0007051514819220794,282
662,embedding_662,0.0007040436584007672,283
1218,embedding_1218,0.000695815193317357,284
192,embedding_192,0.0006957312878138778,285
661,embedding_661,0.0006912997786358794,286
13,embedding_13,0.0006907008694959904,287
1003,embedding_1003,0.000689831275503157,288
584,embedding_584,0.0006858707795347518,289
29,embedding_29,0.000685728339682842,290
982,embedding_982,0.0006857259907339956,291
794,embedding_794,0.0006785317052606849,292
835,embedding_835,0.0006777109782873837,293
74,embedding_74,0.0006767096478736323,294
631,embedding_631,0.0006751242812119862,295
811,embedding_811,0.0006739476083340792,296
1027,embedding_1027,0.0006730671450305186,297
76,embedding_76,0.0006684304354296004,298
742,embedding_742,0.0006683010677100092,299
678,embedding_678,0.0006581323326575786,300
829,embedding_829,0.0006567580820546362,301
322,embedding_322,0.0006525309458922418,302
126,embedding_126,0.000651747043071381,303
719,embedding_719,0.0006500274737572829,304
12,embedding_12,0.0006455181675452285,305
229,embedding_229,0.0006366044807404031,306
859,embedding_859,0.0006279001651108036,307
454,embedding_454,0.0006217363090954635,308
860,embedding_860,0.0006210174925454048,309
981,embedding_981,0.0006205019682176956,310
51,embedding_51,0.0006185915081666086,311
24,embedding_24,0.00061687727734726,312
113,embedding_113,0.0006155531001598934,313
976,embedding_976,0.0006144284920155142,314
448,embedding_448,0.0006142157711040944,315
207,embedding_207,0.0006137314645978891,316
1090,embedding_1090,0.0006089238124441096,317
644,embedding_644,0.0006089182451118706,318
949,embedding_949,0.0006059743605334707,319
54,embedding_54,0.0006043099471419448,320
320,embedding_320,0.0005966139463541677,321
1064,embedding_1064,0.0005957056288839905,322
464,embedding_464,0.0005933759344509639,323
466,embedding_466,0.00059015398867141,324
957,embedding_957,0.000588292323665673,325
887,embedding_887,0.0005820074503514657,326
393,embedding_393,0.0005798372776668224,327
1086,embedding_1086,0.0005759869231643914,328
884,embedding_884,0.000574979420135528,329
380,embedding_380,0.0005738610795567821,330
443,embedding_443,0.000571421612544069,331
704,embedding_704,0.0005677277524493356,332
534,embedding_534,0.0005595313479520208,333
1186,embedding_1186,0.0005590432814168374,334
591,embedding_591,0.0005587047227177667,335
927,embedding_927,0.000553290575027712,336
1237,embedding_1237,0.0005494319434204546,337
200,embedding_200,0.0005470590251262305,338
278,embedding_278,0.0005469676180423759,339
286,embedding_286,0.0005451015395469786,340
709,embedding_709,0.0005444110765401742,341
1153,embedding_1153,0.000542002956687899,342
1149,embedding_1149,0.0005418337016688508,343
256,embedding_256,0.0005416812500198504,344
